,Track,Track_ID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,tempo,id,duration_ms,Cluster
1054,Shut the Door,4Iow6Xe1mLtzlhMPPTczTF,0.764,0.716,9,-8.057,0,0.0817,0.678,0.0972,0.051,92.396,4Iow6Xe1mLtzlhMPPTczTF,311427,0
1055,Moscow Mule,6Xom58OOXk2SoU711L2IXO,0.804,0.674,5,-5.453,0,0.0333,0.294,1.18e-06,0.115,99.968,6Xom58OOXk2SoU711L2IXO,245940,1
1056,Drops,4UKLxwpHwszcIC3gQpkD1i,0.703,0.237,5,-14.281,1,0.0547,0.853,0.623,0.0924,107.992,4UKLxwpHwszcIC3gQpkD1i,173627,1
1057,Demasiadas Mujeres,3GaGWoU1KfVqgl7vnRHP55,0.658,0.453,9,-7.378,0,0.39,0.131,0.0002,0.0848,126.043,3GaGWoU1KfVqgl7vnRHP55,153960,1
1058,"Quevedo: Bzrp Music Sessions, Vol. 52",2tTmW7RDtMQtBk7m2rYeSw,0.621,0.782,2,-5.548,1,0.044,0.0125,0.033,0.23,128.033,2tTmW7RDtMQtBk7m2rYeSw,198938,1
1059,Mind Over Matter (Reprise),77KnJc8o5G1eKVwX5ywMeZ,0.393,0.487,0,-6.348,1,0.0337,0.229,0.0,0.128,151.958,77KnJc8o5G1eKVwX5ywMeZ,230867,1
1060,405 - Metronomy x Biig Piig,1KjLbuPsJmYdZJt0CsyVAg,0.725,0.455,0,-10.154,1,0.0313,0.227,0.0615,0.128,129.987,1KjLbuPsJmYdZJt0CsyVAg,265506,0
1061,405 - Metronomy x Biig Piig,1KjLbuPsJmYdZJt0CsyVAg,0.725,0.455,0,-10.154,1,0.0313,0.227,0.0615,0.128,129.987,1KjLbuPsJmYdZJt0CsyVAg,265506,0
1062,Don't Stop - Original Mix,06G1BCnCULkZwTvKBzn5LV,0.807,0.827,11,-9.005,0,0.0451,0.301,0.602,0.0296,113.978,06G1BCnCULkZwTvKBzn5LV,436293,2
1063,Rich Spirit,1QPreu0BNOrUfEb8HTd2qG,0.852,0.421,10,-9.153,0,0.208,0.428,2.28e-06,0.106,95.977,1QPreu0BNOrUfEb8HTd2qG,202285,1
1064,Réalité,6oZub1HODkC3sRK7CAFpRc,0.563,0.8,1,-6.871,1,0.0546,0.065,0.798,0.117,117.567,6oZub1HODkC3sRK7CAFpRc,251760,0
1065,No Hay Mal Que Dure,5YExs1OO0ol2fIaRm7WmLN,0.46,0.747,0,-7.544,1,0.0289,0.27,0.875,0.126,161.495,5YExs1OO0ol2fIaRm7WmLN,292120,0
1066,Under the Ice - Original 12 Inch Version,2ue8ttSzbhnvhO7zc52NjC,0.789,0.505,1,-12.499,1,0.104,0.171,0.226,0.123,100.119,2ue8ttSzbhnvhO7zc52NjC,432405,2
1067,Secret in the Dark (Juan Maclean Remix),7BAunvyoG1qKCwgeOiR3Hh,0.776,0.808,9,-6.475,1,0.0427,0.0315,0.441,0.158,111.003,7BAunvyoG1qKCwgeOiR3Hh,388056,2
1068,Last Train to London,6xE6ZWzK1YDDSYzqOCoQlz,0.727,0.537,7,-9.785,1,0.0295,0.396,0.000789,0.349,121.493,6xE6ZWzK1YDDSYzqOCoQlz,270067,0
1069,Last Train to London,6xE6ZWzK1YDDSYzqOCoQlz,0.727,0.537,7,-9.785,1,0.0295,0.396,0.000789,0.349,121.493,6xE6ZWzK1YDDSYzqOCoQlz,270067,0
